"","prodfra_n","prodfra_n_1","c_evol_prodfra","libel"
"2183","257340790B","257340790B",0,"Prodfra perenne"
"2184","257340810B","257340810B",0,"Prodfra perenne"
"2185","257340830B","257340830B",0,"Prodfra perenne"
"2186","257340850B","257340850B",0,"Prodfra perenne"
"2187","257340870B","257340870B",0,"Prodfra perenne"
"2188","257340890B","257340890B",0,"Prodfra perenne"
"2189","257350130A","257350130A",0,"Prodfra perenne"
"2190","257350150A","257350150A",0,"Prodfra perenne"
"2191","257350200A","257350200A",0,"Prodfra perenne"
"2192","257350300A","257350300A",0,"Prodfra perenne"
"2193","257350500A","257350500A",0,"Prodfra perenne"
"2194","257350600A","257350600A",0,"Prodfra perenne"
"2195","257350700A","257350700A",0,"Prodfra perenne"
"2196","257350800A","257350800A",0,"Prodfra perenne"
"2197","257360130B","257360130B",0,"Prodfra perenne"
"2198","257360180B","257360180B",0,"Prodfra perenne"
"2199","257360230B","257360230B",0,"Prodfra perenne"
"2200","257360240B","257360240B",0,"Prodfra perenne"
"2201","257360330B","257360330B",0,"Prodfra perenne"
"2202","257360390B","257360390B",0,"Prodfra perenne"
"2203","257360430B","257360430B",0,"Prodfra perenne"
"2204","257360450B","257360450B",0,"Prodfra perenne"
"2205","257360530B","257360530B",0,"Prodfra perenne"
"2206","257360550B","257360550B",0,"Prodfra perenne"
"2207","257360630B","257360630B",0,"Prodfra perenne"
"2208","257360650B","257360650B",0,"Prodfra perenne"
"2209","257360670B","257360670B",0,"Prodfra perenne"
"2210","257360900B","257360900B",0,"Prodfra perenne"
"2211","25739900HB","25739900HB",0,"Prodfra perenne"
"2212","2591110000","2591110000",0,"Prodfra perenne"
"2213","2591120000","2591120000",0,"Prodfra perenne"
"2214","2592113300","2592113300",0,"Prodfra perenne"
"2215","2592113500","2592113500",0,"Prodfra perenne"
"2216","2592115000","2592115000",0,"Prodfra perenne"
"2217","2592121000","2592121000",0,"Prodfra perenne"
"2218","2592123000","2592123000",0,"Prodfra perenne"
"2219","2592125000","2592125000",0,"Prodfra perenne"
"2220","2592126000","2592126000",0,"Prodfra perenne"
"2221","2592128010","2592128000",3,"Prodfra non per"
"2222","2592128020","2592128000",3,"Prodfra non per"
"2223","2592133000","2592133000",0,"Prodfra perenne"
"2224","2592135000","2592135000",0,"Prodfra perenne"
"2225","2592137000","2592137000",0,"Prodfra perenne"
"2226","2593113000","2593113000",0,"Prodfra perenne"
"2227","2593115000","2593115000",0,"Prodfra perenne"
"2228","2593123000","2593123000",0,"Prodfra perenne"
"2229","2593125000","2593125000",0,"Prodfra perenne"
"2230","2593127000","2593127000",0,"Prodfra perenne"
"2231","2593131300","2593131300",0,"Prodfra perenne"
"2232","2593131500","2593131500",0,"Prodfra perenne"
"2233","2593132000","2593132000",0,"Prodfra perenne"
"2234","2593133000","2593133000",0,"Prodfra perenne"
"2235","2593134310","2593134310",0,"Prodfra perenne"
"2236","2593134320","2593134320",0,"Prodfra perenne"
"2237","2593134500","2593134500",0,"Prodfra perenne"
"2238","2593135000","2593135000",0,"Prodfra perenne"
"2239","2593136000","2593136000",0,"Prodfra perenne"
"2240","2593141000","2593141000",0,"Prodfra perenne"
"2241","2593148000","2593148000",0,"Prodfra perenne"
"2242","2593151000","2593151000",0,"Prodfra perenne"
"2243","2593153000","2593153000",0,"Prodfra perenne"
"2244","2593155000","2593155000",0,"Prodfra perenne"
"2245","2593157000","2593157000",0,"Prodfra perenne"
"2246","2593161310","2593161310",0,"Prodfra perenne"
"2247","2593161320","2593161320",0,"Prodfra perenne"
"2248","2593161510","2593161510",0,"Prodfra perenne"
"2249","2593161520","2593161520",0,"Prodfra perenne"
"2250","2593161710","2593161710",0,"Prodfra perenne"
"2251","2593161720","2593161720",0,"Prodfra perenne"
"2252","2593163110","2593163110",0,"Prodfra perenne"
"2253","2593163120","2593163120",0,"Prodfra perenne"
"2254","2593163310","2593163310",0,"Prodfra perenne"
"2255","2593163320","2593163320",0,"Prodfra perenne"
"2256","2593163500","2593163500",0,"Prodfra perenne"
"2257","2593163700","2593163700",0,"Prodfra perenne"
"2258","2593165300","2593165300",0,"Prodfra perenne"
"2259","2593166000","2593166000",0,"Prodfra perenne"
"2260","2593168000","2593168000",0,"Prodfra perenne"
"2261","2593171000","2593171000",0,"Prodfra perenne"
"2262","2593172300","2593172300",0,"Prodfra perenne"
"2263","2593172500","2593172500",0,"Prodfra perenne"
"2264","2593173000","2593173000",0,"Prodfra perenne"
"2265","2593175000","2593175000",0,"Prodfra perenne"
"2266","2593177000","2593177000",0,"Prodfra perenne"
"2267","2593178000","2593178000",0,"Prodfra perenne"
"2268","2593180000","2593180000",0,"Prodfra perenne"
"2269","2594111300","2594111300",0,"Prodfra perenne"
"2270","2594111500","2594111500",0,"Prodfra perenne"
"2271","2594111700","2594111700",0,"Prodfra perenne"
"2272","2594112300","2594112300",0,"Prodfra perenne"
"2273","2594112500","2594112500",0,"Prodfra perenne"
"2274","2594112700","2594112700",0,"Prodfra perenne"
"2275","2594112900","2594112900",0,"Prodfra perenne"
"2276","2594113100","2594113100",0,"Prodfra perenne"
"2277","2594113300","2594113300",0,"Prodfra perenne"
"2278","2594113500","2594113500",0,"Prodfra perenne"
"2279","2594113900","2594113900",0,"Prodfra perenne"
"2280","2594115300","2594115300",0,"Prodfra perenne"
"2281","2594115700","2594115700",0,"Prodfra perenne"
"2282","2594117300","2594117300",0,"Prodfra perenne"
"2283","2594117500","2594117500",0,"Prodfra perenne"
"2284","2594118300","2594118300",0,"Prodfra perenne"
"2285","2594118500","2594118500",0,"Prodfra perenne"
"2286","2594118700","2594118700",0,"Prodfra perenne"
"2287","2594119000","2594119000",0,"Prodfra perenne"
"2288","2594121000","2594121000",0,"Prodfra perenne"
"2289","2594123000","2594123000",0,"Prodfra perenne"
"2290","2594125000","2594125000",0,"Prodfra perenne"
"2291","2594127000","2594127000",0,"Prodfra perenne"
"2292","2594131000","2594131000",0,"Prodfra perenne"
"2293","2594134000","2594134000",0,"Prodfra perenne"
"2294","2594137000","2594137000",0,"Prodfra perenne"
"2295","25941400H0","25941400H0",0,"Prodfra perenne"
"2296","259911100A","259911100A",0,"Prodfra perenne"
"2297","259911270A","259911270A",0,"Prodfra perenne"
"2298","259911310A","259911310A",0,"Prodfra perenne"
"2299","259911370A","259911370A",0,"Prodfra perenne"
"2300","259912170A","259912170A",0,"Prodfra perenne"
"2301","259912230A","259912230A",0,"Prodfra perenne"
"2302","259912290A","259912290A",0,"Prodfra perenne"
"2303","259912370A","259912370A",0,"Prodfra perenne"
"2304","259912430A","259912430A",0,"Prodfra perenne"
"2305","259912490A","259912490A",0,"Prodfra perenne"
"2306","259912530A","259912530A",0,"Prodfra perenne"
"2307","259912550A","259912550A",0,"Prodfra perenne"
"2308","259912570A","259912570A",0,"Prodfra perenne"
"2309","259912700A","259912700A",0,"Prodfra perenne"
"2310","259912800A","259912800A",0,"Prodfra perenne"
"2311","259921300B","259921300B",0,"Prodfra perenne"
"2312","259921500B","259921500B",0,"Prodfra perenne"
"2313","259921700B","259921700B",0,"Prodfra perenne"
"2314","259922000B","259922000B",0,"Prodfra perenne"
"2315","259923300B","259923300B",0,"Prodfra perenne"
"2316","259923500B","259923500B",0,"Prodfra perenne"
"2317","259923700B","259923700B",0,"Prodfra perenne"
"2318","259924000B","259924000B",0,"Prodfra perenne"
"2319","259925300B","259925300B",0,"Prodfra perenne"
"2320","259925500B","259925500B",0,"Prodfra perenne"
"2321","259925700B","259925700B",0,"Prodfra perenne"
"2322","259926000B","259926000B",0,"Prodfra perenne"
"2323","259929100B","3020407000",3,"Prodfra non per"
"2324","259929110B","259929110B",0,"Prodfra perenne"
"2325","259929130B","259929130B",0,"Prodfra perenne"
"2326","259929190B","259929190B",0,"Prodfra perenne"
"2327","259929220B","259929220B",0,"Prodfra perenne"
"2328","259929250B","259929250B",0,"Prodfra perenne"
"2329","259929310B","259929310B",0,"Prodfra perenne"
"2330","259929330B","259929330B",0,"Prodfra perenne"
"2331","259929350B","259929350B",0,"Prodfra perenne"
"2332","259929370B","259929370B",0,"Prodfra perenne"
"2333","259929491B","259929491B",0,"Prodfra perenne"
"2334","259929492B","259929492B",0,"Prodfra perenne"
"2335","259929550B","259929550B",0,"Prodfra perenne"
"2336","259929580B","259929580B",0,"Prodfra perenne"
"2337","259929630B","259929630B",0,"Prodfra perenne"
"2338","259929670B","259929670B",0,"Prodfra perenne"
"2339","259929710B","259929710B",0,"Prodfra perenne"
"2340","259929730B","259929730B",0,"Prodfra perenne"
"2341","259929750B","259929750B",0,"Prodfra perenne"
"2342","259929760B","259929760B",0,"Prodfra perenne"
"2343","259929770B","259929770B",0,"Prodfra perenne"
"2344","259929820B","259929820B",0,"Prodfra perenne"
"2345","259929830B","259929830B",0,"Prodfra perenne"
"2346","259929850B","259929850B",0,"Prodfra perenne"
"2347","259929870B","259929870B",0,"Prodfra perenne"
"2348","259929950B","259929950B",0,"Prodfra perenne"
"2349","2611110000","2611110000",0,"Prodfra perenne"
"2350","2611120000","2611120000",0,"Prodfra perenne"
"2351","2611212000","2611212000",0,"Prodfra perenne"
"2352","2611215000","2611215000",0,"Prodfra perenne"
"2353","2611218000","2611218000",0,"Prodfra perenne"
"2354","2611222000","2611222000",0,"Prodfra perenne"
"2355","2611224010","2611224010",0,"Prodfra perenne"
"2356","2611226000","2611226000",0,"Prodfra perenne"
"2357","2611228000","2611228000",0,"Prodfra perenne"
"2358","2611300300","2611300300",0,"Prodfra perenne"
"2359","2611300600","2611300600",0,"Prodfra perenne"
"2360","2611302700","2611302700",0,"Prodfra perenne"
"2361","2611306500","2611306500",0,"Prodfra perenne"
"2362","2611306700","2611306700",0,"Prodfra perenne"
"2363","2611308000","2611308000",0,"Prodfra perenne"
"2364","2611309100","2611309100",0,"Prodfra perenne"
"2365","2611309400","2611309400",0,"Prodfra perenne"
"2366","2611404000","2611404000",0,"Prodfra perenne"
"2367","2611407020","2611407020",0,"Prodfra perenne"
"2368","2611409000","2611409000",0,"Prodfra perenne"
"2369","26118010S0","26118010S0",0,"Prodfra perenne"
"2370","26118020S0","26118020S0",0,"Prodfra perenne"
"2371","26118030S0","26118030S0",0,"Prodfra perenne"
"2372","2612102000","2612102000",0,"Prodfra perenne"
"2373","2612105000","2612105000",0,"Prodfra perenne"
"2374","2612108000","2612108000",0,"Prodfra perenne"
"2375","2612200000","2612200000",0,"Prodfra perenne"
"2376","26122510S0","26122510S0",0,"Prodfra perenne"
"2377","26122520S0","26122520S0",0,"Prodfra perenne"
"2378","26122530S0","26122530S0",0,"Prodfra perenne"
"2379","26122535S0","26122535S0",0,"Prodfra perenne"
"2380","26122540S0","26122540S0",0,"Prodfra perenne"
"2381","26122550S0","26122550S0",0,"Prodfra perenne"
"2382","26122560H0","26122560H0",0,"Prodfra perenne"
"2383","26122570S0","26122570S0",0,"Prodfra perenne"
"2384","26122575S0","26122575S0",0,"Prodfra perenne"
