"","prodfra_n_moins1","prodfra_n","c_evol_prodfra","libel"
"2644","2593163320","2593163320",0,"Prodfra perenne"
"2645","2593163500","2593163500",0,"Prodfra perenne"
"2646","2593163700","2593163700",0,"Prodfra perenne"
"2647","2593165300","2593165300",0,"Prodfra perenne"
"2648","2593165500","2593165500",0,"Prodfra perenne"
"2649","2593166000","2593166000",0,"Prodfra perenne"
"2650","2593168000","2593168000",0,"Prodfra perenne"
"2651","2593171000","2593171000",0,"Prodfra perenne"
"2652","2593172300","2593172300",0,"Prodfra perenne"
"2653","2593172500","2593172500",0,"Prodfra perenne"
"2654","2593173000","2593173000",0,"Prodfra perenne"
"2655","2593175000","2593175000",0,"Prodfra perenne"
"2656","2593177000","2593177000",0,"Prodfra perenne"
"2657","2593178000","2593178000",0,"Prodfra perenne"
"2658","2593180000","2593180000",0,"Prodfra perenne"
"2659","2594111300","2594111300",0,"Prodfra perenne"
"2660","2594111500","2594111500",0,"Prodfra perenne"
"2661","2594111700","2594111700",0,"Prodfra perenne"
"2662","2594112300","2594112300",0,"Prodfra perenne"
"2663","2594112500","2594112500",0,"Prodfra perenne"
"2664","2594112700","2594112700",0,"Prodfra perenne"
"2665","2594112900","2594112900",0,"Prodfra perenne"
"2666","2594113100","2594113100",0,"Prodfra perenne"
"2667","2594113300","2594113300",0,"Prodfra perenne"
"2668","2594113500","2594113500",0,"Prodfra perenne"
"2669","2594113900","2594113900",0,"Prodfra perenne"
"2670","2594115310","2594115300",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2671","2594115320","2594115300",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2672","2594115700","2594115700",0,"Prodfra perenne"
"2673","2594117300","2594117300",0,"Prodfra perenne"
"2674","2594117500","2594117500",0,"Prodfra perenne"
"2675","2594118300","2594118300",0,"Prodfra perenne"
"2676","2594118500","2594118500",0,"Prodfra perenne"
"2677","2594118700","2594118700",0,"Prodfra perenne"
"2678","2594119000","2594119000",0,"Prodfra perenne"
"2679","2594121000","2594121000",0,"Prodfra perenne"
"2680","2594123000","2594123000",0,"Prodfra perenne"
